year_month,count,L0,L1,L2,L3,mom_pct,yoy_pct
2025-09,2,1,0,1,0,,
2025-10,1,0,1,0,0,-50.0,
2025-11,3,2,0,0,1,200.0,
2026-03,1,0,0,1,0,-66.66666666666667,
2026-04,1,0,0,1,0,0.0,
2026-06,4,2,1,1,0,300.0,
2026-07,42,27,10,4,1,950.0,
2026-08,10,5,4,0,1,-76.19047619047619,
